"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Clicking the cart icon should navigate to the Shopping Bag page","1895","Cart_Icon_Click_Navigates_To_Cart","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Cart_Icon_Click_Navigates_To_Cart"
"Invalid username should show an error and keep user on login page","20206","Admin_Login_Fails_With_Invalid_Username","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Fails_With_Invalid_Username"
"DELETE /api/products/{id} should remove the product and return 204 No Content","274","DeleteProduct_Returns_NoContent_And_Product_No_Longer_Exists","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","DeleteProduct_Returns_NoContent_And_Product_No_Longer_Exists"
"POST /api/products with missing required fields should return 400 Bad Request","110","CreateProduct_With_Missing_Name_Returns_BadRequest","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","CreateProduct_With_Missing_Name_Returns_BadRequest"
"Footer should show 4 social media links","896","Storefront_Footer_Has_Four_Social_Links","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Footer_Has_Four_Social_Links"
"Valid admin credentials should redirect to the Admin Products portal","2500","Admin_Can_Login_With_Valid_Credentials","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Can_Login_With_Valid_Credentials"
"Homepage should render all main sections: announcement bar, hero, features bar","929","Storefront_Homepage_Renders_All_Key_Sections","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Homepage_Renders_All_Key_Sections"
"Toggle password button should switch input type from password to text","941","Password_Toggle_Shows_And_Hides_Password","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Password_Toggle_Shows_And_Hides_Password"
"Empty cart page should display an empty state with a Continue Shopping link","1593","Empty_Cart_Shows_Empty_State_Message","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","CartTests","ECommerce.Playwright.Tests.UI.Cart","CartTests","Empty_Cart_Shows_Empty_State_Message"
"Invalid credentials should show an error message and stay on login page","1838","Admin_Login_Fails_With_Invalid_Password","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Fails_With_Invalid_Password"
